node_label,freq0,qc,qd,qi,qf,qdsig,diff,num_replicates,notes
FDEN2,NA,NA,NA,NA,0.32914572864321606,NA,NA,398.0,
FDEN3,NA,NA,NA,NA,0.3160270880361174,NA,NA,443.0,
HUTE1,NA,NA,NA,NA,0.4650112866817156,NA,NA,443.0,
HUTE2,NA,NA,NA,NA,0.40875912408759124,NA,NA,411.0,
HUTE3,NA,NA,NA,NA,0.42718446601941745,NA,NA,412.0,
LEAC1,NA,NA,NA,NA,0.4415954415954416,NA,NA,351.0,
LEAC2,NA,NA,NA,NA,0.45918367346938777,NA,NA,392.0,
LEAC3,NA,NA,NA,NA,0.3775811209439528,NA,NA,339.0,
NIRI1,NA,NA,NA,NA,0.4582278481012658,NA,NA,395.0,
NIRI2,NA,NA,NA,NA,0.49876543209876545,NA,NA,405.0,
NIRI3,NA,NA,NA,NA,0.4378531073446328,NA,NA,354.0,
PALT1,NA,NA,NA,NA,0.2915601023017903,NA,NA,391.0,
PALT2,NA,NA,NA,NA,0.3114754098360656,NA,NA,488.0,
PALT3,NA,NA,NA,NA,0.2654639175257732,NA,NA,388.0,
PAXI1,NA,NA,NA,NA,0.3764705882352941,NA,NA,340.0,
PAXI2,NA,NA,NA,NA,0.36363636363636365,NA,NA,341.0,
PAXI3,NA,NA,NA,NA,0.3681592039800995,NA,NA,402.0,
PBON1,NA,NA,NA,NA,0.2773722627737226,NA,NA,411.0,
PBON2,NA,NA,NA,NA,0.27539503386004516,NA,NA,443.0,
PBON3,NA,NA,NA,NA,0.3076923076923077,NA,NA,455.0,
PCOR1,NA,NA,NA,NA,0.2953929539295393,NA,NA,369.0,
PCOR2,NA,NA,NA,NA,0.3433874709976798,NA,NA,431.0,
PCOR3,NA,NA,NA,NA,0.30434782608695654,NA,NA,368.0,
PEEX1,NA,NA,NA,NA,0.3157894736842105,NA,NA,361.0,
PEEX2,NA,NA,NA,NA,0.32,NA,NA,375.0,
PEEX3,NA,NA,NA,NA,0.33678756476683935,NA,NA,386.0,
PEIN1,NA,NA,NA,NA,0.2706185567010309,NA,NA,388.0,
PEPA1,NA,NA,NA,NA,0.36147757255936674,NA,NA,379.0,
PEPA2,NA,NA,NA,NA,0.32894736842105265,NA,NA,380.0,
PEPA3,NA,NA,NA,NA,0.4519906323185012,NA,NA,427.0,
PESE1,NA,NA,NA,NA,0.4087403598971722,NA,NA,389.0,
PINF1,NA,NA,NA,NA,0.2982005141388175,NA,NA,389.0,
PINF2,NA,NA,NA,NA,0.3046683046683047,NA,NA,407.0,
PINF3,NA,NA,NA,NA,0.2845303867403315,NA,NA,362.0,
PINT1,NA,NA,NA,NA,0.31932773109243695,NA,NA,357.0,
PINT2,NA,NA,NA,NA,0.3126760563380282,NA,NA,355.0,
PINT3,NA,NA,NA,NA,0.34523809523809523,NA,NA,420.0,
PLNY1,NA,NA,NA,NA,0.391705069124424,NA,NA,434.0,
PLNY2,NA,NA,NA,NA,0.4684466019417476,NA,NA,412.0,
PLNY3,NA,NA,NA,NA,0.42038216560509556,NA,NA,471.0,
PREI1,NA,NA,NA,NA,0.2819843342036554,NA,NA,383.0,
PSCH1,NA,NA,NA,NA,0.2885714285714286,NA,NA,350.0,
PSCH2,NA,NA,NA,NA,0.30402010050251255,NA,NA,398.0,
PSCH3,NA,NA,NA,NA,0.2714285714285714,NA,NA,350.0,
