node_label	count0	count1	count2	topo0	topo1	topo2
QS74	60	8	5	((CAHU3,PLNY3),(CPAR3,CAPY1));	((CAHU3,CPAR3),(PLNY3,CAPY1));	((CAHU3,CAPY1),(CPAR3,PLNY3));
QS75	84	0	0	((CAPY3,FABR2),(CPAR3,CPAR2));	((CAPY3,CPAR3),(FABR2,CPAR2));	((CAPY3,CPAR2),(CPAR3,FABR2));
QS76	2	0	0	((CPAR3,BOER1),(CPAR2,CPAR1));	((CPAR3,CPAR2),(BOER1,CPAR1));	((CPAR3,CPAR1),(CPAR2,BOER1));
QS77	59	6	3	((CPAR3,NIRI1),(CAPY3,CAPY2));	((CPAR3,CAPY3),(NIRI1,CAPY2));	((CPAR3,CAPY2),(CAPY3,NIRI1));
QS78	13	15	14	((CAPY3,NIRI3),(CAPY1,CAPY2));	((CAPY3,CAPY1),(NIRI3,CAPY2));	((CAPY3,CAPY2),(CAPY1,NIRI3));
QS79	69	2	1	((CPAR3,PINF1),(CACA3,CAOV1));	((CPAR3,CACA3),(PINF1,CAOV1));	((CPAR3,CAOV1),(CACA3,PINF1));
QS80	24	9	9	((CAMI1,CAPY2),(CACA2,CAEL2));	((CAMI1,CACA2),(CAPY2,CAEL2));	((CAMI1,CAEL2),(CACA2,CAPY2));
QS81	52	6	1	((CAEL1,CATH1),(CACA3,CACA2));	((CAEL1,CACA3),(CATH1,CACA2));	((CAEL1,CACA2),(CACA3,CATH1));
QS82	13	8	10	((CACA3,PALT2),(CACA2,CACA1));	((CACA3,CACA2),(PALT2,CACA1));	((CACA3,CACA1),(CACA2,PALT2));
QS83	54	1	1	((CACA2,PEPA1),(CAEL2,CAEL3));	((CACA2,CAEL2),(PEPA1,CAEL3));	((CACA2,CAEL3),(CAEL2,PEPA1));
QS84	9	10	12	((CAEL2,FAPA2),(CAEL3,CAEL1));	((CAEL2,CAEL3),(FAPA2,CAEL1));	((CAEL2,CAEL1),(CAEL3,FAPA2));
QS85	11	8	19	((CAEL2,FDEN3),(CSEL3,CALO1));	((CAEL2,CSEL3),(FDEN3,CALO1));	((CAEL2,CALO1),(CSEL3,FDEN3));
QS86	13	15	12	((CALO1,PEPA1),(CAEG2,CASE1));	((CALO1,CAEG2),(PEPA1,CASE1));	((CALO1,CASE1),(CAEG2,PEPA1));
QS87	14	13	7	((CSEL2,PAXI1),(CAMI3,CAEG3));	((CSEL2,CAMI3),(PAXI1,CAEG3));	((CSEL2,CAEG3),(CAMI3,PAXI1));
QS88	52	8	2	((CAEG3,FADE1),(CAMI3,CAMI1));	((CAEG3,CAMI3),(FADE1,CAMI1));	((CAEG3,CAMI1),(CAMI3,FADE1));
QS89	17	10	16	((CAMI3,NIRI2),(CAMI1,CAMI2));	((CAMI3,CAMI1),(NIRI2,CAMI2));	((CAMI3,CAMI2),(CAMI1,NIRI2));
QS90	35	9	3	((CAMI2,PBON1),(CAEG3,CAEG1));	((CAMI2,CAEG3),(PBON1,CAEG1));	((CAMI2,CAEG1),(CAEG3,PBON1));
QS91	19	6	17	((CAEG3,CATH3),(CAEG2,CAEG1));	((CAEG3,CAEG2),(CATH3,CAEG1));	((CAEG3,CAEG1),(CAEG2,CATH3));
QS92	27	6	18	((CAMI2,FAPA3),(CSEL2,CALI3));	((CAMI2,CSEL2),(FAPA3,CALI3));	((CAMI2,CALI3),(CSEL2,FAPA3));
QS93	34	12	9	((CALI2,PEPA3),(CSEL3,CSEL1));	((CALI2,CSEL3),(PEPA3,CSEL1));	((CALI2,CSEL1),(CSEL3,PEPA3));
QS94	9	12	13	((CSEL3,PALT2),(CSEL2,CSEL1));	((CSEL3,CSEL2),(PALT2,CSEL1));	((CSEL3,CSEL1),(CSEL2,PALT2));
QS95	21	12	18	((CSEL1,CAEL2),(CASE1,CALI2));	((CSEL1,CASE1),(CAEL2,CALI2));	((CSEL1,CALI2),(CASE1,CAEL2));
QS96	22	6	16	((CASE1,CAPY3),(CALI2,CALI1));	((CASE1,CALI2),(CAPY3,CALI1));	((CASE1,CALI1),(CALI2,CAPY3));
