P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
FAIM	FADE	FAPU	8.009791077078692	5.551115123125783e-16	0.5803323262091232	1196020147.171875	9348265.828125	11055427.078125	3044980.890625	211761.03125	10457494.640625	2653344.578125	207637.53125	3194914.078125	120382797.515625	1389009.65625	254712.03125	1425814.15625	1474907.28125	47051.53125
FAIM	FADE	FDEN	8.778995012697946	0.0	0.6713324986081897	1054696622.109375	9340748.578125	9819839.953125	2563042.578125	186586.03125	9287705.078125	2183736.453125	145887.28125	2958502.828125	104446736.578125	1344109.90625	242747.03125	1233395.90625	1262716.40625	39190.28125
FADE	FAIM	PEPA	7.9083801346446	1.3322676295501878e-15	0.2932061541950505	1184091122.40625	12256347.84375	9461064.40625	3550150.65625	233211.9375	11451795.90625	2654124.90625	273473.6875	3025831.96875	119729481.59375	1520654.1875	247449.0625	1330761.4375	1575219.6875	53969.3125
FADE	FAPE	FDEN	4.812933713038927	7.446267324962008e-07	0.03777696175048529	1077002739.5	5982253.875	5258319.9375	5632632.3125	106805.875	11561944.3125	1264680.1875	124781.625	1436166.375	108659972.25	765507.0	121112.375	680535.375	1913470.375	24119.625
FAPE	FADE	PEPA	11.02972025618938	0.0	0.5847794669754567	1175228586.53125	13313642.96875	10823778.46875	3188261.59375	286589.9375	9059965.09375	2637484.84375	214248.5625	3413176.09375	118132741.59375	1662519.3125	223987.0625	1375682.3125	1366320.4375	51323.1875
FADE	FAPU	FDEN	5.401772291586584	3.306788332047006e-08	0.0792578926625859	1078875035.40625	7448066.65625	6711886.15625	4169207.09375	123365.1875	11188249.65625	1659182.96875	146685.8125	1875246.96875	108322888.78125	978960.4375	154166.0625	888240.6875	1680632.5625	33605.5625
FAPU	FADE	PEPA	8.893976334507613	0.0	0.5847138592892521	1185592044.28125	13258543.96875	10955084.40625	3131714.15625	287146.6875	9248148.84375	2692060.21875	220979.9375	3311083.40625	119334956.40625	1671690.1875	214409.8125	1396851.6875	1370555.8125	50431.1875
FADE	FAVI	PAXI	7.127457980584784	5.146993942162226e-13	0.9818195237711453	334520816.75	7197545.4375	2118027.125	520318.6875	78721.75	3453873.0625	432427.5	102405.5	5178908.4375	28704363.25	1376350.375	139553.125	251282.125	352228.25	26130.625
FADE	FAVI	PINF	7.3802257284970425	7.960299086562372e-14	0.981334595171963	343262000.1875	7081464.9375	2167927.8125	529279.4375	74029.875	3484549.875	437612.0	103727.0	5257032.125	29540164.5	1371511.5	139645.75	258379.0	354447.0	25414.0
FADE	FAVI	PREI	5.387883449026972	3.572626527947875e-08	0.9860604822200433	116205387.75	2226266.8125	741664.375	183308.9375	24423.125	1158109.6875	160242.625	35901.375	1791918.8125	9990182.75	456297.875	48950.125	88863.25	120074.125	8675.375
FDEN	FADE	PEPA	14.644363997834708	0.0	0.45654437741096215	1035583043.328125	11912914.046875	9355733.734375	3018762.046875	266750.34375	9297517.484375	2153794.171875	176445.96875	2880433.484375	102336952.421875	1443296.71875	197058.46875	1187204.59375	1315443.96875	44925.21875
FADE	PALT	PAXI	7.2346549856302405	2.3503421431314564e-13	0.026699016835193868	988524009.9375	9797391.0	8526791.6875	12636787.125	410200.25	23499197.8125	1669156.25	354151.0	1970013.8125	85733050.5	1093340.0	363752.5	930069.375	3974347.875	85659.875
FADE	PBON	PAXI	6.683561641572916	1.1724066162344116e-11	0.024215343177317404	996080662.90625	10180599.84375	7912813.71875	12811778.21875	381840.3125	23718021.84375	1661788.21875	354204.6875	1938489.46875	86318093.21875	1116942.0625	335448.5625	893992.4375	3999943.8125	87731.6875
