triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
FAPA1_CAPY1_CAHE1,CAHE1,0.0,0.33030850464554,0.7603654857083731,0.23963451429162694,0.014996525764044944,0.014996525764044944,-549.3008677608956,-565.1000998681126,89
FAPA1_CAOV1_CAIR1,FAPA1,0.0,0.6658585430850403,0.4472218040937912,0.5527781959062088,0.022999734942267,0.022999734942267,-6902.166479499167,-6596.47075454278,1191
FAPA1_CAOV1_CAIR1,CAOV1,0.0,2.4184878572434267,0.7988853126342664,0.20111468736573376,0.01985554728181818,0.01985554728181818,-57.118764615672504,-61.8260854458885,11
FAPA1_CAOV1_CAIR1,CAIR1,0.0,2.064912902202089,0.7808627056880633,0.21913729431193668,0.04085581523076923,0.04085581523076923,-49.495257228156426,-54.57540955706964,13
FAPA1_CAOV1_CASE1,FAPA1,0.0,0.7104483397599177,0.4487403171311794,0.5512596828688205,0.022834341488477714,0.022834341488477714,-6893.415477918377,-6602.5455687347585,1189
FAPA1_CAOV1_CASE1,CAOV1,0.0,1.3580294155654546,0.7951802168004691,0.2048197831995308,0.025022160499999994,0.025022160499999994,-75.9883844092497,-83.2432009338285,16
FAPA1_CAOV1_CASE1,CASE1,0.0,1.6263770866567888,0.6090212000661696,0.3909787999338303,0.0518727795,0.0518727795,-34.48529852691394,-36.87663703034004,10
FAPA1_CAOV1_CACA1,FAPA1,0.0,0.7020262653680467,0.43727966023853265,0.5627203397614673,0.021504850665502107,0.021504850665502107,-7042.655301509596,-6722.482415908973,1185
FAPA1_CAOV1_CACA1,CAOV1,0.0,2.1417148413638696,0.7689882872056579,0.2310117127943421,0.015124546636363638,0.015124546636363638,-62.930702960206716,-67.8137022265366,11
FAPA1_CAOV1_CACA1,CACA1,0.0,3.3972942959678454,0.7952360920804946,0.20476390791950544,0.025205141368421047,0.025205141368421047,-97.97027013368758,-98.92243776412289,19
FAPA1_CAOV1_CATH1,FAPA1,0.0,0.7035967089397585,0.4327419348239417,0.5672580651760583,0.022182735936214167,0.022182735936214167,-6988.6732820218585,-6654.54359933875,1186
FAPA1_CAOV1_CATH1,CAOV1,0.0,2.329786375763357,0.7636068527746832,0.2363931472253169,0.017061105006666667,0.017061105006666667,-83.07058542963344,-89.42056881580834,15
FAPA1_CAOV1_CATH1,CATH1,0.0,2.5808303364965157,0.7517232291371994,0.2482767708628006,0.032459979571428564,0.032459979571428564,-62.86859936235437,-65.33786836515789,14
FAPA1_CAOV1_CAHE1,FAPA1,0.0,0.6906332928741663,0.4397673823925764,0.5602326176074236,0.02267045357,0.02267045357,-6939.870712001783,-6619.674627539183,1189
FAPA1_CAOV1_CAHE1,CAOV1,0.0,0.7998540153476311,0.7309845292980375,0.2690154707019627,0.014407879161538463,0.014407879161538463,-75.08039500174203,-81.67453215168486,13
FAPA1_CAOV1_CAHE1,CAHE1,0.0,2.7353621011966887,0.8339015094314056,0.16609849056859438,0.032811005153846155,0.032811005153846155,-56.00621348829286,-60.27682436152698,13
FAPA1_CAIR1_CASE1,FAPA1,0.0,0.681757223700127,0.4405229776857488,0.5594770223142512,0.02241344934648054,0.02241344934648054,-6921.647103554816,-6607.619449122468,1182
FAPA1_CAIR1_CASE1,CAIR1,0.0,5.1409638087864735,0.8990192035734331,0.1009807964265667,0.028065819050000003,0.028065819050000003,-99.18987226276762,-99.93238160551651,20
FAPA1_CAIR1_CASE1,CASE1,0.0,3.1793709225449556,0.7887787026403456,0.2112212973596545,0.02822884846923077,0.02822884846923077,-60.81998563737975,-64.187732185578,13
FAPA1_CAIR1_CACA1,FAPA1,0.0,0.6926292524367234,0.43744364078588976,0.5625563592141102,0.02162103311016034,0.02162103311016034,-7030.121451449234,-6709.7126806184,1185
FAPA1_CAIR1_CACA1,CAIR1,0.0,4.062052323925206,0.8617710481328297,0.13822895186717024,0.035225764857142856,0.035225764857142856,-60.67233825249459,-63.048312893223454,14
FAPA1_CAIR1_CACA1,CACA1,0.0,2.9749689553026877,0.7833348323265183,0.2166651676734817,0.030810862693750003,0.030810862693750003,-73.28440533638235,-76.58382619997725,16
FAPA1_CAIR1_CATH1,FAPA1,0.0,0.6957237292057485,0.4327005949965357,0.5672994050034643,0.022269683136563027,0.022269683136563027,-7002.008274647934,-6667.697373479491,1190
FAPA1_CAIR1_CATH1,CAIR1,0.0,6.533350693611584,0.9220389498222622,0.07796105017773784,0.02936441176923077,0.02936441176923077,-62.73928667073985,-63.16231801206437,13
